Id,SalePrice
1461,122861.09202475009
1462,162538.10347129675
1463,187844.52365065008
1464,183590.3304198422
1465,193491.65973633956
1466,177074.582821256
1467,172425.47237402934
1468,167468.66826325507
1469,188126.07085355313
1470,124788.50571835664
1471,201993.8424163274
1472,97797.40271413059
1473,99586.14792208174
1474,151076.47980528616
1475,118593.06244739382
1476,360421.3976657438
1477,253322.2358200273
1478,300773.4521760991
1479,282051.06102444034
1480,486783.7126205561
1481,323162.66509425465
1482,203113.37605937655
1483,184854.6392634843
1484,169271.1141469049
1485,176856.97072180564
1486,196731.61806835356
1487,321517.3478538237
1488,231552.78902898042
1489,198027.88727715393
1490,232692.08065694442
1491,195515.86007275578
1492,93000.21510742346
1493,180104.76158570132
1494,297625.3810326445
1495,287786.716500556
1496,234357.40998028853
1497,184955.20024645736
1498,160408.05399420924
1499,156982.70272630936
1500,156347.8792456656
1501,170356.07474094653
1502,148451.9228099303
1503,287982.90910649055
1504,232647.29025814356
1505,227572.88200663682
1506,178477.5926587076
1507,246515.93985223465
1508,201058.10916631075
1509,159336.27120105797
1510,148440.33556155878
1511,148174.79459487562
1512,170021.1593763436
1513,146514.66632730377
1514,159548.41758464032
1515,184357.43626252207
1516,145959.86021920264
1517,158095.04355218803
1518,131830.8585440311
1519,229312.79840312267
1520,138214.5785115985
1521,141587.9670889403
1522,167288.6366668646
1523,112689.80350534267
1524,120099.39950899128
1525,125307.8343142478
1526,117158.00799164576
1527,105789.16312471601
1528,131592.38469459192
1529,143126.5855567292
1530,173034.00009196743
1531,112681.19305329201
1532,99992.48923665776
1533,148476.53055370564
1534,118420.6205249328
1535,156950.98755225574
1536,114529.10383248708
1537,69033.88929311605
1538,141961.0297503176
1539,191409.5005355631
1540,112685.38674739572
1541,139402.96450879853
1542,141291.81119936192
1543,183979.41668912704
1544,78070.72116267931
1545,105629.83979770116
1546,125767.06143990354
1547,135315.51823678115
1548,127959.72585133574
1549,106963.91835363879
1550,138548.56304962694
1551,113660.52287123061
1552,135039.9404581705
1553,140416.45202256038
1554,112154.19066806087
1555,169561.79674593176
1556,87248.06570434816
1557,107506.14915632475
1558,98259.62823276012
1559,88132.86906692217
1560,134011.25062455566
1561,127402.83731138922
1562,129631.6996436132
1563,122124.5756259274
1564,157491.41040025937
1565,153070.51425458255
1566,212566.7001490626
1567,82459.33962127625
1568,243102.81669863826
1569,148725.04863755556
1570,137115.7050502637
1571,118838.75973748426
1572,150174.5945317103
1573,231870.9091180754
1574,124433.56469519227
1575,202852.5945156233
1576,239045.69962339124
1577,195099.26742534296
1578,146442.6915158369
1579,139294.99322001243
1580,191607.60273492004
1581,142817.03478961476
1582,128324.12490353746
1583,325899.68704539596
1584,232299.5940279633
1585,145846.47616860445
1586,68271.69784408445
1587,103176.76159896007
1588,148081.40674137403
1589,97155.29069331232
1590,135197.51490923204
1591,95943.18636199934
1592,125313.21836901989
1593,118243.95794339763
1594,129229.10886300616
1595,116617.40980568378
1596,239417.48312485908
1597,184750.18895694232
1598,197866.1645894573
1599,164995.5871377248
1600,171455.37645214397
1601,59076.366331528516
1602,113147.09978144802
1603,73465.85870198702
1604,284714.04287842964
1605,246759.08101793114
1606,166462.91831306793
1607,168967.40283748333
1608,219867.3566023929
1609,184690.7085393428
1610,158993.17180659043
1611,149156.31540290933
1612,185538.90672880365
1613,176813.14119355485
1614,122741.3617859403
1615,81706.69101871336
1616,75529.92225025916
1617,90973.7414942826
1618,121642.00301315045
1619,139061.5841101015
1620,167661.03694869525
1621,143238.03965831327
1622,138386.7402428749
1623,263628.8953980265
1624,222979.88609820773
1625,123559.16839170952
1626,168154.64225098296
1627,186760.84192059425
1628,269224.98002029955
1629,173558.06705350912
1630,339483.1749534257
1631,199634.88233530024
1632,230441.44885806905
1633,167657.97852047667
1634,185499.46536471054
1635,176376.23761329966
1636,158990.26688161294
1637,192341.90136404138
1638,191708.88179724137
1639,183775.17379572903
1640,243811.8230119215
1641,179872.5108597028
1642,227299.51278093693
1643,224987.58851928782
1644,222553.27321068873
1645,193064.9819589093
1646,157581.65253411862
1647,161489.975939286
1648,136317.267342911
1649,138043.32486300325
1650,120422.72161688594
1651,120142.85717318158
1652,97758.39798988233
1653,98338.4382912389
1654,152664.95199692695
1655,144055.77006575922
1656,148364.01359639264
1657,152535.28243714868
1658,150795.55608258225
1659,129015.93650365702
1660,155392.98254434136
1661,438774.14784075855
1662,382025.7000786893
1663,384802.96634542436
1664,395236.05224530987
1665,314835.2003489898
1666,321456.6327669929
1667,361806.47304380493
1668,345190.4584814264
1669,295097.95885771565
1670,341032.30470374
1671,274178.75204194133
1672,462085.42872984585
1673,301266.7882787488
1674,242072.4131099859
1675,192569.00839008891
1676,195910.03859614427
1677,209203.0118489207
1678,433743.8848321054
1679,416355.88877727615
1680,317034.86867453216
1681,241852.34625542737
1682,308124.45613567485
1683,185280.7188700957
1684,174868.0707741899
1685,177051.18226917848
1686,173256.20677572733
1687,166855.353603728
1688,189977.1108212552
1689,186484.87512402347
1690,189644.7028519528
1691,179178.15349605485
1692,260497.8850056551
1693,166576.93203950825
1694,177814.81761149035
1695,165481.37423775834
1696,270024.0018257446
1697,168629.34904071427
1698,356114.47252875974
1699,323218.2880938231
1700,246730.0931669192
1701,261070.6074247118
1702,254537.51139380175
1703,267000.2240229179
1704,276355.2642947732
1705,218539.60191013495
1706,381789.38442126755
1707,232469.53783777263
1708,210131.41503988925
1709,263010.3325866524
1710,219238.4547320953
1711,260780.58072535027
1712,253823.300902294
1713,280546.5358009543
1714,221063.46131277145
1715,204232.00477876002
1716,178268.76296308692
1717,165529.82665093918
1718,127734.27280706471
1719,204497.92862789187
1720,229684.3255013445
1721,156029.41190521565
1722,116155.06115489556
1723,160187.69272539465
1724,216850.14942291167
1725,229683.92292616572
1726,195021.02751889033
1727,171442.40949979133
1728,182072.13913422852
1729,162178.7162320491
1730,156000.6773883742
1731,122083.33729116143
1732,134693.0121031549
1733,122452.57005061534
1734,118768.27296777567
1735,130233.49241148097
1736,115264.38454042401
1737,310498.68164364784
1738,217002.4807677181
1739,254469.80376745993
1740,218854.79553659167
1741,188059.45393787746
1742,167191.52193586185
1743,171543.2187139601
1744,289403.94157715346
1745,211516.75330114499
1746,175988.00995443645
1747,211553.65338363693
1748,219465.3574290712
1749,162092.53792865382
1750,138958.51257631037
1751,217152.89318491617
1752,120569.07036064284
1753,149513.59508461208
1754,190597.96161061808
1755,170991.3882532475
1756,129308.16570249022
1757,119791.55733511443
1758,147021.19366727126
1759,168817.14539141595
1760,169591.16850406706
1761,149147.91940334914
1762,177990.75251904322
1763,177152.0547230364
1764,123216.43980306794
